first_name,last_name,total_orders
Salem,Kinsman,6
Ardelia,Trowl,6
Ranique,Luetkemeyers,5
Violetta,Bleue,5
Ingelbert,Salzberg,5
Bari,Bengtsen,5
Libby,Mordey,5
Carlyn,Sirett,5
Alfy,Vagg,5
Chris,Braniff,4
Vinita,Besantie,4
Cyndi,Husselbee,4
Antonietta,Kighly,4
Fidelio,Birbeck,4
Justen,Welch,4
Odelia,Deek,4
Lance,Culleton,4
Godfry,Warner,4
Goldie,Kalinsky,4
Nikola,Rames,4
Rafaellle,Northing,4
Devy,Jablonski,4
Sandy,Yarmouth,4
Fonzie,Blackstock,4
Kenton,Knowlys,4
Meredithe,Gillison,4
Erny,Matantsev,3
Ailis,Mowsdell,3
Dalenna,Turpin,3
Ysabel,Martill,3
Lenna,Timberlake,3
Jordain,Morsom,3
Quintus,Finan,3
Huberto,Scrase,3
Nathan,Gallamore,3
Leroi,Tiddeman,3
Valery,Compfort,3
Alfredo,Legges,3
Drusilla,Watson,3
Grazia,Rosindill,3
Jimmy,Joberne,3
Gualterio,Darkin,3
Erinn,Oloshin,3
Billy,Attwoul,3
Goldina,Carnew,3
Zebadiah,Riolfo,3
Augie,McQuilkin,3
Lavinia,Hollingsbee,3
Lionello,Buckam,3
Stanislaw,Presshaugh,3
Erny,Clarke-Williams,3
Gerrie,Imlen,3
Taddeo,Morrilly,3
Bertram,Stirzaker,3
Darya,Tukesby,3
Hewie,Spedroni,3
Conroy,Strathdee,3
Hannah,Ellingworth,3
Joane,Perrin,3
Sheilakathryn,Sallows,3
Vasili,Castanone,3
Davina,Tripet,3
Rolf,Sweetnam,3
Nicolas,Layburn,3
Thekla,Averill,3
Rodi,"Di Giacomettino",3
Caralie,Holcroft,3
Mal,Jouannisson,3
Curt,Blackleech,3
Correy,Elvy,3
Neile,Canete,3
Paco,Haskew,3
Elaine,Alvarado,3
Kenon,Deftie,3
Darwin,Fahy,3
Cooper,Gladbeck,3
Mill,McAulay,3
Gardiner,Rymour,2
Consalve,Housden,2
Elsbeth,Dormon,2
Mickie,Ropp,2
Florry,Oene,2
Myer,Cruxton,2
Norbert,Martinuzzi,2
Joellen,Ring,2
Keenan,Postgate,2
Lorens,Mundford,2
Karleen,Beadel,2
Olenolin,Fackney,2
Devora,Bagnal,2
Sabina,O'Donegan,2
Nels,Harlin,2
Manfred,Biasi,2
Belicia,McCauley,2
Rickard,Kiddle,2
Jewel,McKenzie,2
Romy,Eyckelberg,2
Kylynn,McLay,2
Sheff,Lefridge,2
Dawna,Furmagier,2
Janaye,"Cherry Holme",2
Melisandra,Meegan,2
Estell,Labuschagne,2
Malinda,Irlam,2
Matthus,Attarge,2
Kyrstin,Royle,2
Ingelbert,Walsham,2
Opal,Town,2
Olive,Cottu,2
Holt,Mangham,2
Natividad,Bolver,2
Gisella,Guinn,2
Stefan,Sapwell,2
Fielding,D'Onise,2
Davey,Calderbank,2
Danila,Oldford,2
Sile,Issett,2
Darrell,Salvidge,2
Inez,Cobby,2
Terrance,Cutchie,2
Willem,Cosgreave,2
Nicolea,McGrotty,2
Thibaud,Clemits,2
Ferris,Peniman,2
Derwin,Cayzer,2
Averill,Stockall,2
Marthena,Phizaclea,2
Lil,Goldsbury,2
Denny,Testro,2
Minne,Vernall,2
Penelopa,Klausewitz,2
Raymund,Philipsson,2
Germaine,Wetwood,2
Irene,Cuffley,2
Kyla,Kyneton,2
Johnnie,Bristoe,2
Noam,Cowill,2
Kandace,Panas,2
Pat,Kingcote,2
Yankee,Gittins,2
Shem,Alleburton,2
Karyn,Buckmaster,2
Hilde,Sambidge,2
Trudey,Voysey,2
Ladonna,Vila,2
Penelopa,Landsman,2
